Factura,Producto,Cantidad
I000048,Producto 4,13
I000048,Producto 5,13
I000049,Producto 1,10
I000049,Producto 2,12
I000049,Producto 3,5
I000049,Producto 4,13
I000049,Producto 5,9
I000050,Producto 1,19
I000050,Producto 2,2
I000050,Producto 3,10
I000050,Producto 4,13
I000050,Producto 5,11
I000051,Producto 1,20
I000051,Producto 2,4
I000051,Producto 3,9
I000051,Producto 4,9
I000051,Producto 5,10
I000052,Producto 1,12
I000052,Producto 2,5
I000052,Producto 3,2
I000052,Producto 4,14
I000052,Producto 5,15
I000053,Producto 1,21
I000053,Producto 2,5
I000053,Producto 3,6
I000053,Producto 4,9
I000053,Producto 5,9
I000054,Producto 1,12
I000054,Producto 2,2
I000054,Producto 3,6
I000054,Producto 4,14
I000054,Producto 5,13
I000055,Producto 1,11
I000055,Producto 2,4
I000055,Producto 3,5
I000055,Producto 4,14
I000055,Producto 5,15
I000056,Producto 1,8
I000056,Producto 2,4
I000056,Producto 3,12
I000056,Producto 4,13
I000056,Producto 5,19
I000057,Producto 1,15
I000057,Producto 2,5
I000057,Producto 3,14
I000057,Producto 4,13
I000057,Producto 5,15
I000058,Producto 1,22
I000058,Producto 2,8
I000058,Producto 3,4
I000058,Producto 4,9
I000058,Producto 5,19
I000059,Producto 1,16
I000059,Producto 2,8
I000059,Producto 3,7
I000059,Producto 4,8
I000059,Producto 5,8
I000060,Producto 1,17
I000060,Producto 2,7
I000060,Producto 3,2
I000060,Producto 4,10
I000060,Producto 5,13
I000061,Producto 1,15
I000061,Producto 2,1
I000061,Producto 3,7
I000061,Producto 4,16
I000061,Producto 5,15
I000062,Producto 1,13
I000062,Producto 2,2
I000062,Producto 3,4
I000062,Producto 4,13
I000062,Producto 5,8
I000063,Producto 1,19
I000063,Producto 2,3
I000063,Producto 3,11
I000063,Producto 4,18
I000063,Producto 5,8
I000064,Producto 1,13
I000064,Producto 2,3
I000064,Producto 3,16
I000064,Producto 4,15
I000064,Producto 5,17
I000065,Producto 1,15
I000065,Producto 2,4
I000065,Producto 3,6
I000065,Producto 4,15
I000065,Producto 5,7
I000066,Producto 1,11
I000066,Producto 2,7
I000066,Producto 3,9
I000066,Producto 4,12
I000066,Producto 5,14
I000067,Producto 1,12
I000067,Producto 2,6
I000067,Producto 3,4
I000067,Producto 4,13
I000067,Producto 5,8
I000068,Producto 1,23
I000068,Producto 2,5
I000068,Producto 3,4
I000068,Producto 4,7
I000068,Producto 5,5
I000069,Producto 1,19
I000069,Producto 2,6
I000069,Producto 3,7
I000069,Producto 4,10
I000069,Producto 5,9
I000070,Producto 1,21
I000070,Producto 2,8
I000070,Producto 3,8
I000070,Producto 4,17
I000070,Producto 5,16
I000071,Producto 1,14
I000071,Producto 2,4
I000071,Producto 3,12
I000071,Producto 4,17
I000071,Producto 5,10
I000072,Producto 1,19
I000072,Producto 2,9
I000072,Producto 3,10
I000072,Producto 4,17
I000072,Producto 5,13
I000073,Producto 1,9
I000073,Producto 2,3
I000073,Producto 3,6
I000073,Producto 4,15
I000073,Producto 5,13
I000074,Producto 1,8
I000074,Producto 2,9
I000074,Producto 3,11
I000074,Producto 4,13
I000074,Producto 5,7
I000075,Producto 1,14
I000075,Producto 2,3
I000075,Producto 3,8
I000075,Producto 4,5
I000075,Producto 5,13
I000076,Producto 1,13
I000076,Producto 2,3
I000076,Producto 3,9
I000076,Producto 4,10
I000076,Producto 5,14
I000077,Producto 1,15
I000077,Producto 2,5
I000077,Producto 3,8
I000077,Producto 4,11
I000077,Producto 5,18
I000078,Producto 1,13
I000078,Producto 2,12
I000078,Producto 3,4
I000078,Producto 4,15
I000078,Producto 5,11
I000079,Producto 1,8
I000079,Producto 2,1
I000079,Producto 3,9
I000079,Producto 4,19
I000079,Producto 5,14
I000080,Producto 1,17
I000080,Producto 2,5
I000080,Producto 3,5
I000080,Producto 4,5
I000080,Producto 5,11
I000081,Producto 1,20
I000081,Producto 2,5
I000081,Producto 3,7
I000081,Producto 4,17
I000081,Producto 5,8
I000082,Producto 1,15
I000082,Producto 2,6
I000082,Producto 3,9
I000082,Producto 4,15
I000082,Producto 5,14
I000083,Producto 1,16
I000083,Producto 2,2
I000083,Producto 3,9
I000083,Producto 4,8
I000083,Producto 5,15
I000084,Producto 1,10
I000084,Producto 2,4
I000084,Producto 3,7
I000084,Producto 4,13
I000084,Producto 5,14
I000085,Producto 1,10
I000085,Producto 2,6
I000085,Producto 3,9
I000085,Producto 4,14
I000085,Producto 5,15
I000086,Producto 1,18
I000086,Producto 2,6
I000086,Producto 3,17
I000086,Producto 4,7
I000086,Producto 5,18
I000087,Producto 1,15
I000087,Producto 2,4
I000087,Producto 3,12
I000087,Producto 4,14
I000087,Producto 5,7
I000088,Producto 1,22
I000088,Producto 2,4
I000088,Producto 3,11
I000088,Producto 4,10
I000088,Producto 5,8
I000089,Producto 1,13
I000089,Producto 2,9
I000089,Producto 3,10
I000089,Producto 4,8
I000089,Producto 5,6
I000090,Producto 1,16
I000090,Producto 2,5
I000090,Producto 3,10
I000090,Producto 4,7
I000090,Producto 5,15
I000091,Producto 1,17
I000091,Producto 2,5
I000091,Producto 3,8
I000091,Producto 4,14
I000091,Producto 5,7
I000092,Producto 1,18
I000092,Producto 2,7
I000092,Producto 3,2
I000092,Producto 4,14
I000092,Producto 5,8
I000093,Producto 1,13
I000093,Producto 2,5
I000093,Producto 3,14
I000093,Producto 4,6
I000093,Producto 5,8
I000094,Producto 1,17
I000094,Producto 2,3
I000094,Producto 3,7
I000094,Producto 4,14
I000094,Producto 5,17
I000095,Producto 1,22
I000095,Producto 2,5
I000095,Producto 3,10
I000095,Producto 4,7
I000095,Producto 5,21
I000096,Producto 1,14
I000096,Producto 2,2
I000096,Producto 3,6
I000096,Producto 4,10
I000096,Producto 5,14
I000097,Producto 1,16
I000097,Producto 2,7
I000097,Producto 3,21
I000097,Producto 4,12
I000097,Producto 5,13
I000098,Producto 1,13
I000098,Producto 2,2
I000098,Producto 3,10
I000098,Producto 4,17
I000098,Producto 5,6
I000099,Producto 1,11
I000099,Producto 2,9
I000099,Producto 3,8
I000099,Producto 4,13
I000099,Producto 5,19
I000100,Producto 1,18
I000100,Producto 2,4
I000100,Producto 3,9
I000100,Producto 4,10
I000100,Producto 5,10
I000101,Producto 1,15
I000101,Producto 2,5
I000101,Producto 3,6
I000101,Producto 4,13
I000101,Producto 5,19
I000102,Producto 1,18
I000102,Producto 2,6
I000102,Producto 3,9
I000102,Producto 4,14
I000102,Producto 5,11
I000103,Producto 1,14
I000103,Producto 2,6
I000103,Producto 3,12
I000103,Producto 4,9
I000103,Producto 5,10
I000104,Producto 1,14
I000104,Producto 2,4
I000104,Producto 3,4
I000104,Producto 4,11
I000104,Producto 5,13
I000105,Producto 1,16
I000105,Producto 2,4
I000105,Producto 3,8
I000105,Producto 4,12
I000105,Producto 5,15
I000106,Producto 1,12
I000106,Producto 2,6
I000106,Producto 3,10
I000106,Producto 4,11
I000106,Producto 5,8
I000107,Producto 1,20
I000107,Producto 2,6
I000107,Producto 3,8
I000107,Producto 4,13
I000107,Producto 5,8
I000108,Producto 1,12
I000108,Producto 2,5
I000108,Producto 3,3
I000108,Producto 4,9
I000108,Producto 5,4
I000109,Producto 1,17
I000109,Producto 2,2
I000109,Producto 3,18
I000109,Producto 4,10
I000109,Producto 5,12
I000110,Producto 1,14
I000110,Producto 2,8
I000110,Producto 3,11
I000110,Producto 4,14
I000110,Producto 5,13
I000111,Producto 1,17
I000111,Producto 2,8
I000111,Producto 3,7
I000111,Producto 4,17
I000111,Producto 5,17
I000112,Producto 1,21
I000112,Producto 2,6
I000112,Producto 3,8
I000112,Producto 4,13
I000112,Producto 5,12
I000113,Producto 1,13
I000113,Producto 2,0
I000113,Producto 3,9
I000113,Producto 4,10
I000113,Producto 5,15
I000114,Producto 1,9
I000114,Producto 2,7
I000114,Producto 3,6
I000114,Producto 4,12
I000114,Producto 5,5
I000115,Producto 1,11
I000115,Producto 2,6
I000115,Producto 3,4
I000115,Producto 4,12
I000115,Producto 5,12
I000116,Producto 1,5
I000116,Producto 2,3
I000116,Producto 3,11
I000116,Producto 4,8
I000116,Producto 5,16
I000117,Producto 1,19
I000117,Producto 2,3
I000117,Producto 3,8
I000117,Producto 4,13
I000117,Producto 5,17
I000118,Producto 1,10
I000118,Producto 2,6
I000118,Producto 3,9
I000118,Producto 4,14
I000118,Producto 5,13
I000119,Producto 1,14
I000119,Producto 2,5
I000119,Producto 3,8
I000119,Producto 4,12
I000119,Producto 5,10
I000120,Producto 1,15
I000120,Producto 2,1
I000120,Producto 3,11
I000120,Producto 4,15
I000120,Producto 5,8
I000121,Producto 1,17
I000121,Producto 2,10
I000121,Producto 3,4
I000121,Producto 4,14
I000121,Producto 5,5
I000122,Producto 1,19
I000122,Producto 2,4
I000122,Producto 3,6
I000122,Producto 4,14
I000122,Producto 5,11
I000123,Producto 1,11
I000123,Producto 2,2
I000123,Producto 3,11
I000123,Producto 4,14
I000123,Producto 5,7
I000124,Producto 1,14
I000124,Producto 2,1
I000124,Producto 3,4
I000124,Producto 4,15
I000124,Producto 5,11
I000125,Producto 1,17
I000125,Producto 2,9
I000125,Producto 3,10
I000125,Producto 4,8
I000125,Producto 5,17
I000126,Producto 1,21
I000126,Producto 2,6
I000126,Producto 3,7
I000126,Producto 4,12
I000126,Producto 5,17
I000127,Producto 1,9
I000127,Producto 2,7
I000127,Producto 3,5
I000127,Producto 4,12
I000127,Producto 5,10
I000128,Producto 1,15
I000128,Producto 2,3
I000128,Producto 3,14
I000128,Producto 4,20
I000128,Producto 5,11
I000129,Producto 1,17
I000129,Producto 2,4
I000129,Producto 3,7
I000129,Producto 4,15
I000129,Producto 5,7
I000130,Producto 1,18
I000130,Producto 2,6
I000130,Producto 3,12
I000130,Producto 4,10
I000130,Producto 5,15
I000131,Producto 1,15
I000131,Producto 2,4
I000131,Producto 3,7
I000131,Producto 4,12
I000131,Producto 5,8
I000132,Producto 1,15
I000132,Producto 2,10
I000132,Producto 3,10
I000132,Producto 4,19
I000132,Producto 5,15
I000133,Producto 1,22
I000133,Producto 2,6
I000133,Producto 3,9
I000133,Producto 4,16
I000133,Producto 5,12
I000134,Producto 1,12
I000134,Producto 2,4
I000134,Producto 3,4
I000134,Producto 4,16
I000134,Producto 5,15
I000135,Producto 1,13
I000135,Producto 2,5
I000135,Producto 3,10
I000135,Producto 4,14
I000135,Producto 5,18
I000136,Producto 1,21
I000136,Producto 2,7
I000136,Producto 3,4
I000136,Producto 4,12
I000136,Producto 5,17
I000137,Producto 1,20
I000137,Producto 2,6
I000137,Producto 3,5
I000137,Producto 4,15
I000137,Producto 5,12
I000138,Producto 1,19
I000138,Producto 2,4
I000138,Producto 3,5
I000138,Producto 4,13
I000138,Producto 5,15
I000139,Producto 1,19
I000139,Producto 2,4
I000139,Producto 3,7
I000139,Producto 4,17
I000139,Producto 5,10
I000140,Producto 1,15
I000140,Producto 2,4
I000140,Producto 3,5
I000140,Producto 4,16
I000140,Producto 5,14
I000141,Producto 1,15
I000141,Producto 2,1
I000141,Producto 3,10
I000141,Producto 4,14
I000141,Producto 5,10
I000142,Producto 1,20
I000142,Producto 2,6
I000142,Producto 3,6
I000142,Producto 4,9
I000142,Producto 5,9
I000143,Producto 1,22
I000143,Producto 2,1
I000143,Producto 3,9
I000143,Producto 4,15
I000143,Producto 5,10
I000144,Producto 1,24
I000144,Producto 2,4
I000144,Producto 3,4
I000144,Producto 4,11
I000144,Producto 5,15
I000145,Producto 1,15
I000145,Producto 2,4
I000145,Producto 3,12
I000145,Producto 4,12
I000145,Producto 5,19
I000146,Producto 1,17
I000146,Producto 2,3
I000146,Producto 3,6
I000146,Producto 4,20
I000146,Producto 5,12
I000147,Producto 1,12
I000147,Producto 2,4
I000147,Producto 3,2
I000147,Producto 4,14
I000147,Producto 5,10
I000148,Producto 1,17
I000148,Producto 2,3
I000148,Producto 3,10
I000148,Producto 4,7
I000148,Producto 5,10
I000149,Producto 1,17
I000149,Producto 2,3
I000149,Producto 3,9
I000149,Producto 4,9
I000149,Producto 5,11
I000150,Producto 1,10
I000150,Producto 2,2
I000150,Producto 3,14
I000150,Producto 4,16
I000150,Producto 5,16
I000151,Producto 1,18
I000151,Producto 2,6
I000151,Producto 3,14
I000151,Producto 4,9
I000151,Producto 5,17
I000152,Producto 1,13
I000152,Producto 2,3
I000152,Producto 3,4
I000152,Producto 4,20
I000152,Producto 5,13
I000153,Producto 1,16
I000153,Producto 2,3
I000153,Producto 3,8
I000153,Producto 4,13
I000153,Producto 5,14
I000154,Producto 1,11
I000154,Producto 2,9
I000154,Producto 3,2
I000154,Producto 4,13
I000154,Producto 5,10
I000155,Producto 1,17
I000155,Producto 2,7
I000155,Producto 3,7
I000155,Producto 4,16
I000155,Producto 5,15
I000156,Producto 1,23
I000156,Producto 2,1
I000156,Producto 3,7
I000156,Producto 4,14
I000156,Producto 5,14
I000157,Producto 1,18
I000157,Producto 2,7
I000157,Producto 3,8
I000157,Producto 4,14
I000157,Producto 5,16
I000158,Producto 1,22
I000158,Producto 2,2
I000158,Producto 3,12
I000158,Producto 4,7
I000158,Producto 5,16
I000159,Producto 1,16
I000159,Producto 2,5
I000159,Producto 3,10
I000159,Producto 4,12
I000159,Producto 5,11
I000160,Producto 1,14
I000160,Producto 2,8
I000160,Producto 3,7
I000160,Producto 4,21
I000160,Producto 5,11
I000161,Producto 1,15
I000161,Producto 2,4
I000161,Producto 3,7
I000161,Producto 4,7
I000161,Producto 5,15
I000162,Producto 1,14
I000162,Producto 2,7
I000162,Producto 3,10
I000162,Producto 4,13
I000162,Producto 5,13
I000163,Producto 1,11
I000163,Producto 2,7
I000163,Producto 3,4
I000163,Producto 4,12
I000163,Producto 5,8
I000164,Producto 1,14
I000164,Producto 2,10
I000164,Producto 3,6
I000164,Producto 4,15
I000164,Producto 5,5
I000165,Producto 1,16
I000165,Producto 2,2
I000165,Producto 3,6
I000165,Producto 4,17
I000165,Producto 5,14
I000166,Producto 1,17
I000166,Producto 2,3
I000166,Producto 3,6
I000166,Producto 4,8
I000166,Producto 5,18
I000167,Producto 1,10
I000167,Producto 2,8
I000167,Producto 3,7
I000167,Producto 4,17
I000167,Producto 5,9
I000168,Producto 1,15
I000168,Producto 2,9
I000168,Producto 3,8
I000168,Producto 4,13
I000168,Producto 5,11
I000169,Producto 1,15
I000169,Producto 2,4
I000169,Producto 3,11
I000169,Producto 4,14
I000169,Producto 5,16
I000170,Producto 1,15
I000170,Producto 2,11
I000170,Producto 3,7
I000170,Producto 4,11
I000170,Producto 5,13
I000171,Producto 1,12
I000171,Producto 2,3
I000171,Producto 3,13
I000171,Producto 4,19
I000171,Producto 5,15
I000172,Producto 1,19
I000172,Producto 2,9
I000172,Producto 3,7
I000172,Producto 4,14
I000172,Producto 5,10
I000173,Producto 1,12
I000173,Producto 2,9
I000173,Producto 3,11
I000173,Producto 4,14
I000173,Producto 5,25
I000174,Producto 1,13
I000174,Producto 2,2
I000174,Producto 3,11
I000174,Producto 4,14
I000174,Producto 5,13
I000175,Producto 1,19
I000175,Producto 2,10
I000175,Producto 3,15
I000175,Producto 4,12
I000175,Producto 5,14
I000176,Producto 1,11
I000176,Producto 2,6
I000176,Producto 3,9
I000176,Producto 4,9
I000176,Producto 5,7
I000177,Producto 1,13
I000177,Producto 2,6
I000177,Producto 3,8
I000177,Producto 4,14
I000177,Producto 5,12
I000178,Producto 1,13
I000178,Producto 2,10
I000178,Producto 3,10
I000178,Producto 4,24
I000178,Producto 5,11
I000179,Producto 1,17
I000179,Producto 2,11
I000179,Producto 3,8
I000179,Producto 4,11
I000179,Producto 5,5
I000180,Producto 1,11
I000180,Producto 2,6
I000180,Producto 3,12
I000180,Producto 4,13
I000180,Producto 5,15
I000181,Producto 1,15
I000181,Producto 2,4
I000181,Producto 3,8
I000181,Producto 4,16
I000181,Producto 5,10
I000182,Producto 1,11
I000182,Producto 2,8
I000182,Producto 3,13
I000182,Producto 4,15
I000182,Producto 5,14
I000183,Producto 1,15
I000183,Producto 2,4
I000183,Producto 3,12
I000183,Producto 4,17
I000183,Producto 5,8
I000184,Producto 1,16
I000184,Producto 2,12
I000184,Producto 3,12
I000184,Producto 4,10
I000184,Producto 5,10
I000185,Producto 1,17
I000185,Producto 2,8
I000185,Producto 3,6
I000185,Producto 4,14
I000185,Producto 5,6
I000186,Producto 1,11
I000186,Producto 2,3
I000186,Producto 3,8
I000186,Producto 4,12
I000186,Producto 5,13
I000187,Producto 1,19
I000187,Producto 2,7
I000187,Producto 3,18
I000187,Producto 4,15
I000187,Producto 5,7
I000188,Producto 1,9
I000188,Producto 2,6
I000188,Producto 3,7
I000188,Producto 4,11
I000188,Producto 5,12
I000189,Producto 1,13
I000189,Producto 2,2
I000189,Producto 3,9
I000189,Producto 4,12
I000189,Producto 5,19
I000190,Producto 1,16
I000190,Producto 2,5
I000190,Producto 3,10
I000190,Producto 4,10
I000190,Producto 5,12
I000191,Producto 1,16
I000191,Producto 2,9
I000191,Producto 3,8
I000191,Producto 4,10
I000191,Producto 5,7
I000192,Producto 1,12
I000192,Producto 2,3
I000192,Producto 3,6
I000192,Producto 4,8
I000192,Producto 5,11
I000193,Producto 1,15
I000193,Producto 2,4
I000193,Producto 3,11
I000193,Producto 4,14
I000193,Producto 5,17
I000194,Producto 1,13
I000194,Producto 2,7
I000194,Producto 3,16
I000194,Producto 4,12
I000194,Producto 5,9
I000195,Producto 1,20
I000195,Producto 2,6
I000195,Producto 3,15
I000195,Producto 4,8
I000195,Producto 5,9
I000196,Producto 1,10
I000196,Producto 2,1
I000196,Producto 3,7
I000196,Producto 4,12
I000196,Producto 5,10
I000197,Producto 1,21
I000197,Producto 2,3
I000197,Producto 3,8
I000197,Producto 4,12
I000197,Producto 5,12
I000198,Producto 1,13
I000198,Producto 2,1
I000198,Producto 3,13
I000198,Producto 4,12
I000198,Producto 5,15
I000199,Producto 1,11
I000199,Producto 2,6
I000199,Producto 3,6
I000199,Producto 4,21
I000199,Producto 5,9
I000200,Producto 1,18
I000200,Producto 2,6
I000200,Producto 3,5
I000200,Producto 4,9
I000200,Producto 5,19
I000201,Producto 1,10
I000201,Producto 2,7
I000201,Producto 3,11
I000201,Producto 4,12
I000201,Producto 5,10
I000202,Producto 1,18
I000202,Producto 2,5
I000202,Producto 3,7
I000202,Producto 4,11
I000202,Producto 5,12
I000203,Producto 1,15
I000203,Producto 2,5
I000203,Producto 3,9
I000203,Producto 4,14
I000203,Producto 5,13
I000204,Producto 1,14
I000204,Producto 2,7
I000204,Producto 3,8
I000204,Producto 4,16
I000204,Producto 5,12
I000205,Producto 1,15
I000205,Producto 2,9
I000205,Producto 3,10
I000205,Producto 4,18
I000205,Producto 5,13
I000206,Producto 1,16
I000206,Producto 2,5
I000206,Producto 3,14
I000206,Producto 4,16
I000206,Producto 5,15
I000207,Producto 1,23
I000207,Producto 2,4
I000207,Producto 3,8
I000207,Producto 4,12
I000207,Producto 5,17
I000208,Producto 1,11
I000208,Producto 2,3
I000208,Producto 3,10
I000208,Producto 4,12
I000208,Producto 5,14
I000209,Producto 1,11
I000209,Producto 2,4
I000209,Producto 3,10
I000209,Producto 4,9
I000209,Producto 5,15
I000210,Producto 1,14
I000210,Producto 2,7
I000210,Producto 3,11
I000210,Producto 4,5
I000210,Producto 5,13
I000211,Producto 1,11
I000211,Producto 2,4
I000211,Producto 3,8
I000211,Producto 4,12
I000211,Producto 5,9
I000212,Producto 1,23
I000212,Producto 2,4
I000212,Producto 3,4
I000212,Producto 4,13
I000212,Producto 5,14
I000213,Producto 1,13
I000213,Producto 2,5
I000213,Producto 3,12
I000213,Producto 4,6
I000213,Producto 5,7
I000214,Producto 1,21
I000214,Producto 2,7
I000214,Producto 3,7
I000214,Producto 4,13
I000214,Producto 5,10
I000215,Producto 1,10
I000215,Producto 2,6
I000215,Producto 3,8
I000215,Producto 4,16
I000215,Producto 5,8
I000216,Producto 1,15
I000216,Producto 2,3
I000216,Producto 3,7
I000216,Producto 4,13
I000216,Producto 5,10
I000217,Producto 1,19
I000217,Producto 2,2
I000217,Producto 3,12
I000217,Producto 4,16
I000217,Producto 5,11
I000218,Producto 1,14
I000218,Producto 2,3
I000218,Producto 3,7
I000218,Producto 4,13
I000218,Producto 5,9
I000219,Producto 1,12
I000219,Producto 2,7
I000219,Producto 3,11
I000219,Producto 4,13
I000219,Producto 5,9
I000220,Producto 1,16
I000220,Producto 2,5
I000220,Producto 3,5
I000220,Producto 4,11
I000220,Producto 5,12
I000221,Producto 1,15
I000221,Producto 2,7
I000221,Producto 3,7
I000221,Producto 4,7
I000221,Producto 5,9
I000222,Producto 1,7
I000222,Producto 2,10
I000222,Producto 3,10
I000222,Producto 4,15
I000222,Producto 5,17
I000223,Producto 1,19
I000223,Producto 2,9
I000223,Producto 3,6
I000223,Producto 4,16
I000223,Producto 5,16
I000224,Producto 1,16
I000224,Producto 2,1
I000224,Producto 3,6
I000224,Producto 4,18
I000224,Producto 5,11
I000225,Producto 1,14
I000225,Producto 2,7
I000225,Producto 3,7
I000225,Producto 4,12
I000225,Producto 5,10
I000226,Producto 1,14
I000226,Producto 2,8
I000226,Producto 3,4
I000226,Producto 4,11
I000226,Producto 5,12
I000227,Producto 1,20
I000227,Producto 2,6
I000227,Producto 3,12
I000227,Producto 4,17
I000227,Producto 5,9
I000228,Producto 1,12
I000228,Producto 2,6
I000228,Producto 3,9
I000228,Producto 4,10
I000228,Producto 5,12
I000229,Producto 1,15
I000229,Producto 2,1
I000229,Producto 3,3
I000229,Producto 4,16
I000229,Producto 5,12
I000230,Producto 1,12
I000230,Producto 2,2
I000230,Producto 3,3
I000230,Producto 4,16
I000230,Producto 5,15
I000231,Producto 1,18
I000231,Producto 2,6
I000231,Producto 3,5
I000231,Producto 4,14
I000231,Producto 5,11
I000232,Producto 1,12
I000232,Producto 2,5
I000232,Producto 3,11
I000232,Producto 4,8
I000232,Producto 5,13
I000233,Producto 1,12
I000233,Producto 2,6
I000233,Producto 3,6
I000233,Producto 4,7
